comment,sent,off
നിവിൻ വേറെ ലെവൽ പെർഫോർമൻസ് ന്റെ പൊന്നെ.. ഏജ്ജാതി,Positive,Not_offensive
ഉഫ് മാരക ട്രൈലെർ   FDFS Locked 🤩,Positive,Not_offensive
ഇതൊക്കെ പിള്ളേരോട് പോയി പറ സാറേ,unknown_state,Not_offensive
Padam 100 cr kayariyathinu shesham kanunnavarundo,Positive,Not_offensive
7 times kandu kazhnju...still not enough....veeendum kanan thonnunu,Positive,Not_offensive
നിനക്കിനി മലയാളം ഇൻഡസ്ട്രി കിടന്നു പൊളക്കാൻ പറ്റും എന്ന് തോന്നുന്നുണ്ടോ ബോസേ?... ബാക്കി പടം കഴിഞ്ഞിട്ട്,unknown_state,Not_offensive
ಕನ್ನಡದಲ್ಲಿ ದಯವಿಟ್ಟು Dub ಮಾಡಿ.. ಮೋಹನ್ ಲಾಲ್ ಅಭಿಮಾನಿ from Karnataka... Mohan lal fan..  Best wishes to Lucifer team..,not-malayalam,not-malayalam
എന്തൊക്കെയായാലും ലാലേട്ടന്റെ പഴയ Vintage look നല്ലോണം മിസ്സ്‌ ചെയ്യുന്നു.......     ആ താടി fully വടിച്ചിട്ടു മീശ ഒന്ന് പിരിച്ചു മുണ്ടുടുത്തു വന്ന് നിന്നാലുണ്ടല്ലോ.....  എന്റെ പൊന്നോ..... youtube നു വരെ അസൂയ തോന്നും.,Mixed_feelings,Not_offensive
Comment vaayichathu kondu video sradhikaan pattiyilla..athond Veendum kandu ..ippo VeendumIni ethra vettam kaanumenn dhaivathinu ariyaam    Edits:- ikka uyir,unknown_state,Not_offensive
Trailor കണ്ടപ്പോഴേ പടത്തിനെ ക്കുറിച്ച് ഏകദേശരൂപം പിടികിട്ടി..കൂതറ പടം ആയിരിക്കും.,Negative,Not_offensive
81 k views 141 k like🤔🤔🤔,unknown_state,not-malayalam
Video kandutheran samayam aayilla athinu munne malaranmar dislike adikan thudangi,Negative,Offensive_Untargetede
Pulimurugande cheriyoru copy aarkengilum feel aayo?,Mixed_feelings,Not_offensive
urutam sounded a bit funny korachum koode punch avarunnu still super movie villain njerichu super,Mixed_feelings,Not_offensive
Promo viedeo engana kanua arelum paaratu pls,unknown_state,Not_offensive
YouTube struck ayoooo Views 172 k Like 162k Unlike 15k Laletaaaa,unknown_state,Not_offensive
